,Localidad,Fecha,Soles
0,AMAZONAS,2019-10-01,1097.65
1,AMAZONAS,2019-10-02,837.34
2,AMAZONAS,2019-10-03,1486.94
3,AMAZONAS,2019-10-04,8961.79
4,AMAZONAS,2019-10-05,1223.21
5,AMAZONAS,2019-10-07,11405.83
6,AMAZONAS,2019-10-09,22015.92
7,AMAZONAS,2019-10-10,1464.76
8,AMAZONAS,2019-10-11,10026.22
9,AMAZONAS,2019-10-12,3349.13
10,AMAZONAS,2019-10-14,6165.87
11,AMAZONAS,2019-10-15,7187.01
12,AMAZONAS,2019-10-16,8808.76
13,AMAZONAS,2019-10-17,2414.52
14,AMAZONAS,2019-10-18,16177.14
15,AMAZONAS,2019-10-19,3049.77
16,AMAZONAS,2019-10-21,3404.79
17,AMAZONAS,2019-10-22,17234.38
18,AMAZONAS,2019-10-23,10776.1
19,AMAZONAS,2019-10-24,859.71
20,AMAZONAS,2019-10-25,24575.7
21,AMAZONAS,2019-10-26,667.45
22,AMAZONAS,2019-10-28,385.85
23,AMAZONAS,2019-10-29,12502.72
24,AMAZONAS,2019-10-30,4242.57
25,AMAZONAS,2019-10-31,37272.32
26,AMAZONAS,2019-11-04,242.03
27,AMAZONAS,2019-11-05,4826.28
28,AMAZONAS,2019-11-06,10214.8
29,AMAZONAS,2019-11-07,553.76
30,AMAZONAS,2019-11-08,11064.0
31,AMAZONAS,2019-11-09,2464.94
32,AMAZONAS,2019-11-11,2707.37
33,AMAZONAS,2019-11-12,9084.71
34,AMAZONAS,2019-11-13,2898.68
35,AMAZONAS,2019-11-14,3811.54
36,AMAZONAS,2019-11-15,13907.55
37,AMAZONAS,2019-11-16,2853.23
38,AMAZONAS,2019-11-18,8048.54
39,AMAZONAS,2019-11-19,3671.62
40,AMAZONAS,2019-11-20,6238.1
41,AMAZONAS,2019-11-21,5028.45
42,AMAZONAS,2019-11-22,10062.46
43,AMAZONAS,2019-11-25,3358.73
44,AMAZONAS,2019-11-26,23953.91
45,AMAZONAS,2019-11-27,4856.69
46,AMAZONAS,2019-11-28,11555.21
47,AMAZONAS,2019-11-29,29304.06
48,AMAZONAS,2019-11-30,30176.85
49,AMAZONAS,2019-12-02,8623.66
50,AMAZONAS,2019-12-03,1467.7
51,AMAZONAS,2019-12-04,5731.08
52,AMAZONAS,2019-12-05,72415.58
53,AMAZONAS,2019-12-06,16539.9
54,AMAZONAS,2019-12-07,10375.36
55,AMAZONAS,2019-12-08,29293.88
56,AMAZONAS,2019-12-09,63420.81
57,AMAZONAS,2019-12-10,11704.51
58,AMAZONAS,2019-12-11,25061.76
59,AMAZONAS,2019-12-12,67717.74
60,AMAZONAS,2019-12-13,37371.69
61,AMAZONAS,2019-12-14,1936.02
62,AMAZONAS,2019-12-15,41716.7
63,AMAZONAS,2019-12-16,17435.62
64,AMAZONAS,2019-12-17,14088.24
65,AMAZONAS,2019-12-18,24051.46
66,AMAZONAS,2019-12-19,90055.86
67,AMAZONAS,2019-12-20,42158.26
68,AMAZONAS,2019-12-21,9462.85
69,AMAZONAS,2019-12-22,2153.73
70,AMAZONAS,2019-12-23,50954.53
71,AMAZONAS,2019-12-24,36712.81
72,AMAZONAS,2019-12-26,28900.78
73,AMAZONAS,2019-12-27,39936.1
74,AMAZONAS,2019-12-28,67364.74
75,AMAZONAS,2019-12-30,8696.13
76,AMAZONAS,2019-12-31,21974.35
77,AMAZONAS,2020-01-01,470.4
78,AMAZONAS,2020-01-02,29326.31
79,AMAZONAS,2020-01-03,7060.19
80,AMAZONAS,2020-01-04,8384.34
81,AMAZONAS,2020-01-06,9986.72
82,AMAZONAS,2020-01-07,15971.39
83,AMAZONAS,2020-01-08,9892.38
84,AMAZONAS,2020-01-09,9438.35
85,AMAZONAS,2020-01-10,25925.92
86,AMAZONAS,2020-01-11,18839.95
87,AMAZONAS,2020-01-13,18727.6
88,AMAZONAS,2020-01-14,14938.57
89,AMAZONAS,2020-01-15,16296.28
90,AMAZONAS,2020-01-16,15358.4
91,AMAZONAS,2020-01-17,14825.24
92,AMAZONAS,2020-01-18,1873.0
93,AMAZONAS,2020-01-20,21024.25
94,AMAZONAS,2020-01-21,142941.12
95,AMAZONAS,2020-01-22,67206.59
96,AMAZONAS,2020-01-23,92925.42
97,AMAZONAS,2020-01-24,89484.24
98,AMAZONAS,2020-01-25,1763.73
99,AMAZONAS,2020-01-26,55075.18
100,AMAZONAS,2020-01-27,159499.46
101,AMAZONAS,2020-01-28,19391.69
102,AMAZONAS,2020-01-29,43932.17
103,AMAZONAS,2020-01-30,5309.31
104,AMAZONAS,2020-01-31,19824.03
105,AMAZONAS,2020-02-03,1266.56
106,AMAZONAS,2020-02-04,3312.63
107,AMAZONAS,2020-02-05,10733.91
108,AMAZONAS,2020-02-06,12734.77
109,AMAZONAS,2020-02-07,27094.44
